time_step,traffic_light_id,vehicle_id,waiting_time
210.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,73.0
210.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,73.0
211.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,veh1,11.0
211.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,74.0
211.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,74.0
212.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,veh1,12.0
212.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,75.0
212.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,75.0
213.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,veh1,13.0
213.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,76.0
213.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,76.0
214.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,veh1,14.0
214.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,77.0
214.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,77.0
215.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,veh1,15.0
215.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,78.0
215.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,78.0
216.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,veh1,16.0
216.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,79.0
216.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,79.0
217.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,veh1,17.0
217.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,80.0
217.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,80.0
218.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,veh1,18.0
218.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,81.0
218.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,81.0
219.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,veh1,19.0
219.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,82.0
219.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,82.0
220.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,veh1,20.0
220.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,83.0
220.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,83.0
221.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,veh1,21.0
221.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,84.0
221.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,84.0
222.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,veh1,22.0
222.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,85.0
222.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,85.0
223.0,joinedS_2435179289_2435179298_2435179301_2435179303_#12more,veh1,23.0
223.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,86.0
223.0,joinedS_5849981999_8450741431_8450741437_8450741439_#8more,veh2,86.0
